operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
anomaly,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,2.694279193878174
anomaly,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,2.5042881965637207
anomaly,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,2.5993528366088867
anomaly,256MB,10,10.24 GB,1,1,4,auto,wrangler,128gb,24,False,4.880880832672119
anomaly,256MB,10,10.24 GB,1,1,4,spatial,wrangler,128gb,24,False,5.106844186782837
anomaly,256MB,10,10.24 GB,1,1,4,temporal,wrangler,128gb,24,False,5.819962024688721
anomaly,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.7958126068115234
anomaly,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.6637961864471436
anomaly,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6689834594726562
anomaly,512MB,10,20.48 GB,1,1,4,auto,wrangler,128gb,24,False,11.264651536941528
anomaly,512MB,10,20.48 GB,1,1,4,spatial,wrangler,128gb,24,False,9.841801404953003
anomaly,512MB,10,20.48 GB,1,1,4,temporal,wrangler,128gb,24,False,13.092430591583252
anomaly,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,1.3734748363494873
anomaly,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,1.2979445457458496
anomaly,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,1.350050687789917
climatology,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,1.4507555961608887
climatology,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.5458502769470215
climatology,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.5981435775756836
climatology,256MB,10,10.24 GB,1,1,4,auto,wrangler,128gb,24,False,3.066248893737793
climatology,256MB,10,10.24 GB,1,1,4,spatial,wrangler,128gb,24,False,2.55863094329834
climatology,256MB,10,10.24 GB,1,1,4,temporal,wrangler,128gb,24,False,3.052264451980591
climatology,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.43712425231933594
climatology,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.45230579376220703
climatology,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42218613624572754
climatology,512MB,10,20.48 GB,1,1,4,auto,wrangler,128gb,24,False,5.986459732055664
climatology,512MB,10,20.48 GB,1,1,4,spatial,wrangler,128gb,24,False,6.315686464309692
climatology,512MB,10,20.48 GB,1,1,4,temporal,wrangler,128gb,24,False,6.002317428588867
climatology,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.6834616661071777
climatology,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7376508712768555
climatology,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.735673189163208
spatial_mean,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,1.3703255653381348
spatial_mean,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.7083103656768799
spatial_mean,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.5259945392608643
spatial_mean,256MB,10,10.24 GB,1,1,4,auto,wrangler,128gb,24,False,3.033296585083008
spatial_mean,256MB,10,10.24 GB,1,1,4,spatial,wrangler,128gb,24,False,3.151021957397461
spatial_mean,256MB,10,10.24 GB,1,1,4,temporal,wrangler,128gb,24,False,2.9275708198547363
spatial_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.4992363452911377
spatial_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7023732662200928
spatial_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42004919052124023
spatial_mean,512MB,10,20.48 GB,1,1,4,auto,wrangler,128gb,24,False,5.642479658126831
spatial_mean,512MB,10,20.48 GB,1,1,4,spatial,wrangler,128gb,24,False,6.121332168579102
spatial_mean,512MB,10,20.48 GB,1,1,4,temporal,wrangler,128gb,24,False,5.675791025161743
spatial_mean,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.6104915142059326
spatial_mean,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.9098939895629883
spatial_mean,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6243288516998291
temporal_mean,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,0.8459348678588867
temporal_mean,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.0808401107788086
temporal_mean,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.1279027462005615
temporal_mean,256MB,10,10.24 GB,1,1,4,auto,wrangler,128gb,24,False,2.1996572017669678
temporal_mean,256MB,10,10.24 GB,1,1,4,spatial,wrangler,128gb,24,False,2.0254223346710205
temporal_mean,256MB,10,10.24 GB,1,1,4,temporal,wrangler,128gb,24,False,2.13592267036438
temporal_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.3207242488861084
temporal_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.28167200088500977
temporal_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.3170304298400879
temporal_mean,512MB,10,20.48 GB,1,1,4,auto,wrangler,128gb,24,False,4.21535325050354
temporal_mean,512MB,10,20.48 GB,1,1,4,spatial,wrangler,128gb,24,False,4.256760120391846
temporal_mean,512MB,10,20.48 GB,1,1,4,temporal,wrangler,128gb,24,False,4.21108341217041
temporal_mean,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.5215616226196289
temporal_mean,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.521329402923584
temporal_mean,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.4785754680633545
